"module","year_version","version","date_init","url"
"ecd",2020,8,2019-01-01,"http://sped.rfb.gov.br/arquivo/download/4210"
"ecf",2020,6,2019-01-01,"http://sped.rfb.gov.br/arquivo/download/4272"
"efd_icms_ipi",2020,"3.0.3",2019-01-01,"http://sped.rfb.gov.br/arquivo/download/4202"
"efd_pis_cofins",2020,"1.33",2019-01-01,"http://sped.rfb.gov.br/arquivo/download/4263"
"ecd",2019,7,2018-01-01,"http://sped.rfb.gov.br/arquivo/download/2911"
"ecf",2019,5,2018-01-01,"http://sped.rfb.gov.br/arquivo/download/2908"
"efd_icms_ipi",2019,"3.0.1",2018-01-01,"http://sped.rfb.gov.br/arquivo/download/4222"
"efd_pis_cofins",2019,"1.31",2018-01-01,"http://sped.rfb.gov.br/estatico/20/6E34811D4F98083196E2A09880F048189788FC/Guia_Pratico_EFD_Contribuicoes_Versao_1_31%20-%2029_04_2019.pdf"
"ecd",2018,6,2017-01-01,"http://sped.rfb.gov.br/arquivo/download/2417"
"ecf",2018,4,2017-01-01,"http://sped.rfb.gov.br/arquivo/download/2422"
"efd_icms_ipi",2018,"2.0.22",2017-01-01,"http://sped.rfb.gov.br/arquivo/download/3057"
"efd_pis_cofins",2018,"1.27",2017-01-01,"http://sped.rfb.gov.br/estatico/43/2F5A22D2A58F51DB2F40AF5501DAC4A45F74AE/Guia_Pratico_EFD_Contribuicoes_Versao_1_27.pdf"
"ecd",2017,5,2016-01-01,"http://sped.rfb.gov.br/arquivo/download/2078"
"ecf",2017,3,2016-01-01,"http://sped.rfb.gov.br/arquivo/download/2102"
"efd_icms_ipi",2017,"2.0.20",2016-01-01,"http://sped.rfb.gov.br/arquivo/download/3056"
"efd_pis_cofins",2017,"1.23",2016-01-01,"http://sped.rfb.gov.br/estatico/1D/5B40578A64FD1B6DE7BC9705D82AC59D4EC0BD/Guia_Pratico_EFD_Contribuicoes_Versao_1_23.pdf"
"ecd",2016,4,2015-01-01,"http://sped.rfb.gov.br/arquivo/download/1640"
"ecf",2016,2,2015-01-01,"http://sped.rfb.gov.br/arquivo/download/1654"
"efd_icms_ipi",2016,"2.0.19",2015-01-01,"http://sped.rfb.gov.br/arquivo/download/3055"
"efd_pis_cofins",2016,"1.21",2015-01-01,"http://sped.rfb.gov.br/estatico/C3/A5008A6AEC8AA7BF117AFDDCDDB8569D4B5B9D/Guia_Pratico_EFD_Contribuicoes_Versao_1.21-%20De%2015.10.2015.pdf"
